epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.678,0.41532,1.23742,1.0311,0.98255,1,0.99346,0.91903,0.40715,2.02814,1.03958,0.000649573,0.000649573,0.000649573
2,402.99,0.3677,0.71115,0.96944,0.92223,0.98438,0.931,0.80544,0.47505,1.8412,1.12862,0.00126412,0.00126412,0.00126412
3,599.792,0.3803,0.59251,0.98088,0.99214,1,0.995,0.88624,0.43114,0.89923,1.1473,0.00182586,0.00182586,0.00182586
4,793.293,0.36,0.51626,0.9701,0.96006,0.98438,0.99378,0.9044,0.40346,0.73989,1.02839,0.0017624,0.0017624,0.0017624
5,987.358,0.33414,0.46798,0.97262,0.99815,1,0.995,0.9073,0.3732,0.63346,0.99826,0.0016832,0.0016832,0.0016832
6,1181.11,0.33928,0.44454,0.96989,0.9974,1,0.995,0.94191,0.37518,0.57272,0.99574,0.001604,0.001604,0.001604
7,1375.02,0.32172,0.39353,0.95573,0.99846,1,0.995,0.94565,0.32761,0.47965,0.99762,0.0015248,0.0015248,0.0015248
8,1568.53,0.28918,0.34926,0.94057,0.98433,0.98138,0.99345,0.92095,0.3746,0.74629,0.98895,0.0014456,0.0014456,0.0014456
9,1762.64,0.28852,0.32378,0.93498,0.99635,1,0.995,0.95158,0.33647,0.40684,0.95692,0.0013664,0.0013664,0.0013664
10,1956.61,0.28302,0.31635,0.92548,0.9987,1,0.995,0.9623,0.28885,0.31323,0.93858,0.0012872,0.0012872,0.0012872
11,2150.77,0.27808,0.30602,0.92379,0.99896,1,0.995,0.9777,0.25389,0.30825,0.88793,0.001208,0.001208,0.001208
12,2345.69,0.26688,0.29427,0.92051,0.98364,1,0.995,0.97313,0.27572,0.31762,0.91721,0.0011288,0.0011288,0.0011288
13,2539.42,0.25315,0.26879,0.91781,0.99871,1,0.995,0.98283,0.21353,0.2682,0.856,0.0010496,0.0010496,0.0010496
14,2733.47,0.24883,0.25704,0.91388,0.99921,1,0.995,0.98101,0.22714,0.2577,0.86127,0.0009704,0.0009704,0.0009704
15,2927.53,0.24487,0.25144,0.92091,0.9973,1,0.995,0.98587,0.21356,0.24422,0.84347,0.0008912,0.0008912,0.0008912
16,3119.71,0.19683,0.26258,0.89355,0.99917,1,0.995,0.97547,0.25032,0.26286,0.89735,0.000812,0.000812,0.000812
17,3312.08,0.20894,0.23098,0.90582,0.99919,1,0.995,0.99369,0.20584,0.24322,0.84275,0.0007328,0.0007328,0.0007328
18,3504.68,0.19261,0.21496,0.89306,0.99911,1,0.995,0.99101,0.20768,0.24214,0.84234,0.0006536,0.0006536,0.0006536
19,3696.36,0.17885,0.19355,0.87377,0.99917,1,0.995,0.99016,0.23499,0.24193,0.86019,0.0005744,0.0005744,0.0005744
20,3888.76,0.18223,0.18485,0.88017,0.99914,1,0.995,0.98934,0.2159,0.20244,0.85371,0.0004952,0.0004952,0.0004952
21,4082.27,0.16305,0.16953,0.86783,0.99914,1,0.995,0.99057,0.19942,0.18443,0.83663,0.000416,0.000416,0.000416
22,4274.86,0.14709,0.15271,0.86693,0.99914,1,0.995,0.99378,0.16076,0.17332,0.80771,0.0003368,0.0003368,0.0003368
23,4467.61,0.14322,0.15093,0.86325,0.99905,1,0.995,0.99151,0.15796,0.16159,0.80685,0.0002576,0.0002576,0.0002576
24,4660.79,0.13477,0.14022,0.84743,0.99897,1,0.995,0.99388,0.16254,0.15743,0.80872,0.0001784,0.0001784,0.0001784
25,4852.93,0.12805,0.13382,0.85807,0.99895,1,0.995,0.99388,0.14373,0.14224,0.79713,9.92e-05,9.92e-05,9.92e-05
